 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  ESPERA FELIZ";-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;4;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;15
"31044 Leopoldina/Cataguases";-;1;4;12;9;5;5;9;19;38;37;49;79;161;182;183;122;119;87;52;48;26;47;17;24;20;14;4;4;3;2;-;1;3;4;2;3;3;1;-;2;-;4;-;3;1;-;-;1;1;2;1;2;-;1416
".....  ASTOLFO DUTRA";-;1;1;-;1;-;-;1;1;-;-;1;-;6;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
".....  LEOPOLDINA";-;-;2;2;5;2;1;2;3;10;4;4;8;22;22;27;20;17;8;10;6;4;2;3;2;4;1;2;1;2;-;-;1;1;2;2;3;1;-;-;1;-;2;-;3;1;-;-;-;-;1;1;-;-;215
".....  CATAGUASES";-;-;1;6;3;2;3;6;14;25;32;38;70;120;133;146;92;92;67;37;39;17;45;14;22;15;13;2;3;1;2;-;-;2;2;-;-;2;1;-;1;-;2;-;-;-;-;-;1;-;1;-;2;-;1074
".....  LARANJAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTANA DE CATAGUASES";-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;3;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  RECREIO";-;-;-;-;-;1;1;-;-;-;1;5;-;3;6;8;3;8;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
".....  DONA EUSEBIA";-;-;-;1;-;-;-;-;-;3;-;-;1;7;9;1;-;1;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
".....  PALMA";-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ARGIRITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAMARATI DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;2;4;-;2;-;3;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;17
"31045 Muriaé";-;-;3;5;3;5;-;5;3;5;5;8;12;38;63;68;52;50;44;51;36;33;22;31;24;12;13;7;8;2;1;5;1;4;3;3;1;-;-;-;1;1;2;-;-;4;-;-;4;4;4;7;4;3;660
".....  MIRAI";-;-;-;1;-;-;-;1;-;2;1;2;-;-;7;4;7;3;1;-;4;2;3;6;3;-;3;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;56
".....  ROSARIO DA LIMEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  BARAO DE MONTE ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MIRADOURO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MURIAE";-;-;3;4;3;5;-;4;3;3;4;6;11;34;49;61;42;44;39;51;31;29;18;25;21;12;10;5;8;2;1;5;-;4;3;2;1;-;-;-;1;1;2;-;-;3;-;-;3;4;4;7;4;3;575
".....  EUGENOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  VIEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PATROCINIO DO MURIAE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;3;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"31046 Santos Dumont";-;1;-;-;-;-;-;-;-;-;1;-;1;5;3;2;4;4;10;9;10;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;56
".....  SANTOS DUMONT";-;1;-;-;-;-;-;-;-;-;1;-;1;5;3;2;4;4;10;9;10;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;55
".....  ARACITABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"31047 São João Nepomuceno/Bicas";-;2;2;1;2;1;1;2;2;1;1;3;1;9;12;7;12;10;3;3;1;1;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;85
".....  ROCHEDO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BICAS";-;-;-;1;-;-;-;1;1;1;1;3;-;1;4;1;2;5;-;1;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;30
".....  SAO JOAO NEPOMUCENO";-;1;1;-;2;-;-;-;-;-;-;-;-;3;1;4;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  MAR DE ESPANHA";-;1;1;-;-;-;-;-;1;-;-;-;1;2;7;2;7;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
".....  GUARARA";-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  PEQUERI";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  DESCOBERTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31048 Ubá";1;1;7;10;4;4;5;13;19;46;68;50;45;198;407;386;385;295;234;205;165;108;102;56;51;27;12;12;9;5;9;-;-;4;4;2;1;4;-;1;-;-;-;5;2;4;2;5;6;5;1;5;4;1;2995
".....  GUIDOVAL";-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;3;2;3;5;4;2;1;4;7;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;41
".....  DORES DO TURVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  TABULEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  VISCONDE DO RIO BRANCO";-;-;1;2;2;-;-;8;6;33;52;35;37;122;256;249;229;170;115;100;57;33;18;6;2;3;-;1;-;1;1;-;-;2;-;1;-;1;-;-;-;-;-;2;-;2;-;1;2;-;-;3;3;1;1557
".....  SENADOR FIRMINO";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  GUARANI";-;-;-;2;-;-;-;-;-;1;1;2;1;3;13;6;7;5;1;4;9;4;6;4;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;75
".....  GUIRICEMA";-;-;-;-;-;-;-;-;1;2;-;1;-;7;8;8;4;4;4;5;5;5;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
".....  COIMBRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO GERALDO";-;-;-;1;-;-;-;-;-;-;1;-;-;5;2;15;8;10;14;8;9;8;4;-;3;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;92
".....  TOCANTINS";-;-;2;1;-;2;-;1;3;1;5;2;1;7;39;25;14;13;11;7;8;11;13;2;8;1;2;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;2;2;-;1;-;-;192
".....  RODEIRO";-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;2;-;2;2;6;-;2;5;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;29
".....  ERVALIA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PIRAUBA";-;-;-;1;-;-;-;1;-;1;1;2;-;1;-;-;4;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;15
".....  UBA";-;1;3;2;1;1;4;-;5;5;8;7;4;45;83;73;102;81;72;67;63;42;51;39;25;16;8;7;7;3;2;-;-;2;-;1;-;2;-;-;-;-;-;3;1;1;1;2;-;1;-;1;-;-;842
".....  DIVINESIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MERCES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  RIO POMBA";1;-;-;-;1;1;-;2;3;2;-;-;2;3;4;7;10;6;12;3;8;-;-;-;-;-;1;1;-;-;3;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;76
"31050 Coração de Jesus";-;-;1;1;1;-;-;-;-;-;1;-;-;1;3;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  JEQUITAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CORACAO DE JESUS";-;-;1;1;1;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  SAO JOAO DA LAGOA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31051 Francisco Sá";-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;2;3;1;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  CAPITAO ENEAS";-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  FRANCISCO SA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"31052 Janaúba/Monte Azul";-;-;3;3;3;3;1;2;-;6;1;5;5;9;23;41;29;32;28;13;17;13;14;12;14;9;12;16;5;2;8;11;3;3;1;2;2;-;1;-;1;5;3;2;-;1;-;2;-;-;3;3;-;1;373
".....  MAMONAS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CATUTI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;6;9;3;8;12;2;2;8;8;1;3;1;-;-;-;-;-;1;4;3;1;-;-;-;-;-;-;-;1;-;-;77
".....  MATO VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SERRANOPOLIS DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  JAIBA";-;-;-;1;1;-;-;-;-;-;-;-;-;1;3;10;17;14;11;4;4;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
".....  VERDELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MATIAS CARDOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
".....  MONTE AZUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
".....  NOVA PORTEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PORTEIRINHA";-;-;-;-;-;-;-;1;-;1;1;1;-;-;2;2;2;3;3;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
".....  ESPINOSA";-;-;1;-;-;2;-;-;-;-;-;1;-;3;16;22;5;10;5;3;4;3;7;3;2;2;1;-;1;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;97
".....  JANAUBA";-;-;2;2;2;1;1;-;-;5;-;3;5;5;1;4;3;3;5;4;3;4;3;3;3;2;3;4;-;-;-;1;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;-;2;1;-;1;82
"31053 Januária";-;-;1;2;-;2;1;1;4;3;7;16;3;11;19;12;21;36;43;52;33;10;14;7;6;5;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;317
".....  JANUARIA";-;-;1;-;-;-;-;1;2;1;2;8;1;6;11;6;8;4;5;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
".....  CONEGO MARINHO";-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  ITACARAMBI";-;-;-;2;-;2;1;-;2;2;4;5;2;5;8;6;11;32;38;48;33;10;14;7;6;5;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;249
"31055 Pirapora";-;41;48;9;101;18;13;26;11;33;22;13;7;28;81;63;64;40;45;42;46;20;32;22;15;9;7;6;1;2;-;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5;2;2;1;-;1;880
".....  LASSANCE";-;40;42;8;92;4;9;19;4;27;6;3;5;4;11;9;6;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;293
".....  PIRAPORA";-;1;1;1;2;2;-;-;1;1;5;3;1;4;23;27;25;21;20;22;30;15;27;21;9;3;6;6;1;2;-;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;1;2;1;-;1;292
".....  VARZEA DA PALMA";-;-;5;-;7;12;4;7;6;5;11;7;1;20;47;19;30;13;14;10;4;2;2;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;234
".....  BURITIZEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;3;4;10;10;11;3;3;1;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
"31057 Patos de Minas";-;-;1;2;-;5;3;3;1;2;-;4;2;13;19;20;26;32;15;22;9;1;-;4;1;1;3;3;1;-;1;-;2;-;-;2;-;2;2;-;-;-;-;-;-;-;1;1;2;1;1;3;2;3;216
".....  PATOS DE MINAS";-;-;-;2;-;2;3;-;-;2;-;1;2;7;11;12;19;28;9;11;7;-;-;1;1;1;2;-;-;-;-;-;2;-;-;2;-;2;2;-;-;-;-;-;-;-;1;1;1;-;1;1;-;1;135
".....  PRESIDENTE OLEGARIO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
".....  LAGAMAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO GONCALO DO ABAETE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;4;4;4;11;1;1;-;2;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;37
".....  GUIMARANIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  LAGOA FORMOSA";-;-;1;-;-;2;-;1;-;-;-;2;-;4;8;1;2;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;27
".....  VAZANTE";-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;9
".....  SERRA DO SALITRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  VARJAO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31058 Unaí/Paracatu";-;1;-;1;3;3;-;1;5;2;3;2;2;4;8;5;4;3;5;6;10;7;12;2;9;7;5;2;1;1;-;3;2;2;-;4;-;3;2;2;-;-;-;2;-;1;-;-;-;1;-;-;1;-;137
".....  UNAI";-;-;-;-;-;2;-;-;1;-;3;1;1;3;6;-;2;2;1;-;6;5;8;1;9;6;5;1;1;1;-;2;2;1;-;3;-;3;2;1;-;-;-;2;-;1;-;-;-;1;-;-;1;-;84
".....  URUANA DE MINAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BONFINOPOLIS DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  ARINOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PARACATU";-;-;-;1;3;-;-;1;3;2;-;1;-;-;-;-;-;-;-;1;-;1;2;1;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  CHAPADA GAUCHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  RIACHINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BURITIS";-;1;-;-;-;1;-;-;-;-;-;-;1;1;2;5;1;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  DOM BOSCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31059 Manhuaçu";-;3;1;29;36;38;61;242;221;90;68;65;78;250;348;137;124;113;66;85;60;21;28;5;1;4;5;2;3;-;2;-;1;2;1;1;2;-;1;-;-;-;1;1;-;1;2;-;5;7;6;3;-;-;2220
".....  ALTO JEQUITIBA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
".....  SIMONESIA";-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MANHUMIRIM";-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;7;3;-;-;1;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
".....  IPANEMA";-;-;-;-;-;-;-;2;8;12;10;10;25;74;251;48;63;78;45;58;47;15;17;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;6;4;1;-;-;777
".....  SAO JOAO DO MANHUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  LAJINHA";-;-;-;-;-;-;-;2;2;-;10;13;3;21;17;20;23;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;118
".....  TAPARUBA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MANHUACU";-;2;1;-;1;4;2;1;1;2;2;4;4;5;9;16;14;17;10;11;8;3;10;2;-;2;5;2;3;-;-;-;1;1;1;1;2;-;1;-;-;-;1;1;-;-;1;-;2;1;-;2;-;-;156
".....  CHALE";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
